KEY,NOTES,ENGLISH,GERMAN
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,"Ein seltener Edelstein, der abwechselnd blau und violett sein kann. Man nimmt an, dass er aus dem materiellen Körper eines toten Gottes geformt ist."
GEM.TOPAZ.ADJECTIVE,,Topaz,Topas
GEM.TOPAZ.NOUN,,Topaz,Topas
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Manchmal mit dem häufiger vorkommenden {{GEM.CITRINE.NOUN}} verwechselt, kann Topas in mehreren Farben gefunden werden, am häufigsten jedoch in einem gelblichen Braun. Er wurde zuerst auf einer Insel entdeckt, die es nicht mehr länger gibt."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,Turmalin
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalin
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,"Oftmals zusammen mit {{ORE.CASSITERITE.ADJECTIVE}}erz gefunden. Manchmal wird er mit Erdmagie in Verbindung gebracht."
GEM.TURQUOISE.ADJECTIVE,,Turquoise,Türkis
GEM.TURQUOISE.NOUN,,Turquoise,Türkis
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,"Ein blaugrünes Mineral, das häufig in Dekorationen verwendet wird. Man nimmt an, dass es dem Träger Glück bringt. Es ist oft mit dem Element Erde durchdringen."

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Sammelt {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetZoneMaterial}},Trinkt {{targetZoneMaterial}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Isst {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Transportiert {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Untätig
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Geht schlafen
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Füllt {{targetZoneMaterial}} um

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Felder hinzufügen/entfernen
GUI.ADD_TILES,This should be as short as possible,Add tiles,Felder hinzufügen
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,Lautstärke Umgebungsgeräusche:
GUI.BACK_LABEL,This should be as short as possible,Back,Zurück
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Brücke
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Türen
GUI.BUILD.WALLS,,Walls,Wände
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,L-Form
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,Viereck
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Einzeln
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Möbel
GUI.BUILD_LABEL,This should be as short as possible,Build,Bauen
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,Abbrechen
GUI.CHANGE_PROFESSION_LABEL,,Change profession,Beruf wechseln
GUI.CROP_SELECTION,,Crop:,Pflanze:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}","{{timeOfDay}}, Tag {{dayNumber}}, {{season}}"
GUI.DIALOG.DISMISS,,Dismiss,Verwerfen
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Ein Raum mit diesem Namen existiert schon.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,"Die Datei konnte nicht geladen werden, da sie inkompatibel mit dieser Version des Spiels ist."
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Ein Fehler ist aufgetreten
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Während des Ladens ist ein unerwarteter Fehler aufgetreten.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Während des Speicherns ist ein unerwarteter Fehler aufgetreten.
GUI.DIALOG.INFO_TITLE,,Information,Information
GUI.DIALOG.JUMP_TO,,Go to location,Gehe zu
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,Die ausgewählte Übersetzung ist derzeit noch unvollständig und Teile des Textes fehlen. Es wird eine Ausweichsprache verwendet.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Du hast neue Mods ausgewählt. Diese werden erst beim nächsten Neustarts des Spiels aktiv.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Eine oder mehrere Mods sind mit dieser Version des Spiels nicht kompatibel und wurden deaktiviert. Du kannst im Mods-Menü nach Updates suchen.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,OK,OK
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,Raum umbenennen
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,"Damit diese Änderung wirksam wird, muss das Spiel neugestart werden."
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Zugewiesen zu {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Wird gerade entfernt
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,Dieses Möbelstück muss auf {{materialType}} platziert werden.
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Vollbild
GUI.GRAPHICS.RESOLUTION,,Resolution,Auflösung
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Keine (Brachfläche)
GUI.MINIMAP.LABEL,,Minimap,Minikarte
GUI.MUSIC_VOLUME,,Music volume:,Musiklautstärke:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,Neue Version jetzt auf itch.io verfügbar
GUI.NEXT_LABEL,This should be as short as possible,Next,Weiter
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Dieses Möbelstück kann in dieser Version des Spiels nicht rotiert werden.
GUI.OK_LABEL,This should be as short as possible,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Audioeinstellungen
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,"Bäume transparent machen, wenn sie Siedler verdecken"
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,Pause bei Benachrichtungen
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ","Spieleinstellungen "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,"Scrollen, wenn der Mauszeiger am Bildschirmrand ist"
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Grafikeinstellungen "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,Automatische Absturzberichte erlauben
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Verschiedenes
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Hacken
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Aufräumen
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Ernten
GUI.ORDERS.MINE,This should be as short as possible,Mine,Graben
GUI.ORDERS_LABEL,This should be as short as possible,Orders,Aufträge
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Eine Brücke muss beide Seiten des Flusses bedecken und mindestens 3x3 Felder gross sein
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Entfernen
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Felder entfernen
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Ressourcen
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Verfügbar: {{count}}
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Zum Rotieren der Möbel (R) drücken
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Spiel wird gespeichert…
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},Tot: {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},Bevölkerung: {{count}}
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Siedler
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},Gesamt: {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,Soundeffektlautstärke
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Interfacegröße
GUI.ZONES_LABEL,This should be as short as possible,Zones,Zonen

HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,Hat eine gute Mahlzeit gegessen
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,Trug einen toten Körper
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,Trank Flusswasser
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,Am Verhungern
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Am Verdursten
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Optimistisch wegen neuer Siedlung
HAPPINESS_MODIFIER.POISONED,,Poisoned,Vergiftet
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,Sah einen toten Körper
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom","Schlief in einem geräumigen, eigenen Schlafzimmer"
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,Schlief in eigenem Schlafzimmer
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,Teilte ein Schlafzimmer mit anderen
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,Schlief in einem beengten Schlafzimmer
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,Schlief auf rauem Boden
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,Schlief unter den Sternen
HAPPINESS_MODIFIER.TITLE,,Happiness:,Zufriedenheit:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,Sehr hungrig
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,Sehr durstig
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,Extrem müde

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}} zugewiesen an {{targetDescription}}

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,Teig
INGREDIENT.FLOUR,,Flour,Mehl
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,Laib
INGREDIENT.LOAF.PLURAL,,Loaves,Laibe
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,Pilzkultur
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,Pilzkulturen
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as 'seeds' from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","Auch bekannt als Myzel, die man sich als 'Samen' vorstellen kann, um Pilze in einer {{ROOMS.MUSHROOM_FARM}} zu züchten."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Samen
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Samen
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,Für die Auspflanzung in einer {{ROOMS.FARM}} ist Saatgut der richtigen Art erforderlich. Es muss auch in einem {{STOCKPILE.GRANARY}} verfügbar sein.
INGREDIENT.VEGETABLE.SACK.NOUN,E.g. “Sack containing a potato”,Sack,Sack

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Inventar:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} aus {{materialType}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,Brennstoff
ITEM_GROUP.PRODUCT.PLURAL,,Products,Produkte
ITEM_GROUP.RESOURCE.PLURAL,,Resources,Ressourcen
ITEM_GROUP.TOOL.PLURAL,,Tools,Werkzeuge

LANGUAGE.LABEL,,Language,Sprache

LIQUID.WATER.NOUN,,Water,Wasser

MADNESS.BROKEN.ADJECTIVE,,Broken,Gebrochen
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat!","Dieser Siedler war so unglücklich, dass er über seine Belastungsgrenzen hinaus getrieben wurde und nicht mehr arbeiten oder gar essen wird!"

MATERIAL,Used for specifying which material something is made out of,Material,Material

MATERIAL_TYPE,,Type,Art
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Beliebig
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,Erde
MATERIAL_TYPE.EARTH.NOUN,,Earth,Erde
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,Nahrung
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Edelstein
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,Metall
MATERIAL_TYPE.METAL.NOUN,,Metal,Metall
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,Erz
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Anderes
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Samen
MATERIAL_TYPE.STONE.ADJECTIVE,,Stone,Stein
MATERIAL_TYPE.STONE.NOUN,,Stone,Stein
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,Gemüse
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,Vitriol
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,Vitriol
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,Holz
MATERIAL_TYPE.WOOD.NOUN,,Wood,Holz

MENU.CONTINUE_GAME,,Continue game,Spiel fortsetzen
MENU.MODS,,Mods,Mods
MENU.NEW_GAME,,Start new game,Neues Spiel beginnen
MENU.OPTIONS,,Options,Optionen
MENU.QUIT,,Quit,Beenden
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Vollbildschirm einstellen

METAL.BRONZE.ADJECTIVE,,Bronze,Bronze
METAL.BRONZE.NOUN,,Bronze,Bronze
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),Bronze ist eine Legierung aus Kupfer und Zinn. Sie ist härter und viel haltbarer als Kupfer selbst. (Legierungen wurden noch nicht eingebaut.)
METAL.COPPER.ADJECTIVE,,Copper,Kupfer
METAL.COPPER.NOUN,,Copper,Kupfer
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","Neben dem natürlichen {{ORE.NATIVE_COPPER.NOUN}}vorkommen, kann man es auch leicht aus {{ORE.MALACHITE.NOUN}}erz schmelzen. Kupfer ist vielseitig verwendbar, insbesondere in der Münzprägung, obwohl es nicht fest genug ist, um wirksame Waffen herzustellen."
METAL.GOLD.ADJECTIVE,,Golden,Gold
METAL.GOLD.NOUN,,Gold,Gold
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","König der Metalle. Obwohl es nicht das seltenste oder wertvollste ist, ist Gold das begehrteste Metall bei den meisten Rassen - besonders bei den Zwergen."
METAL.IRON.ADJECTIVE,,Iron,Eisen
METAL.IRON.NOUN,,Iron,Eisen
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,"Das Militär ist schwach, wenn es keinen Zugang zu Eisen hat. Zwergenmetallschmiede kennen die Geheimnisse der Verarbeitung zu {{METAL.STEEL.NOUN}}."
METAL.PLATINUM.ADJECTIVE,,Platinum,Platin
METAL.PLATINUM.NOUN,,Platinum,Platin
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,"Ein silber-weißes Metall, das sehr korrosionsbeständig ist. Platin ist seltener und daher wertvoller als {{METAL.GOLD.NOUN}}."
METAL.SILVER.ADJECTIVE,,Silver,Silber
METAL.SILVER.NOUN,,Silver,Silber
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth.",Wie {{METAL.GOLD.NOUN}} wird Silber oft zur Münzprägung und als massive Barren für den Handel von Vermögen verwendet.
METAL.STEEL.ADJECTIVE,,Steel,Stahl
METAL.STEEL.NOUN,,Steel,Stahl
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Weit stärker als {{METAL.IRON.NOUN}}, was für überlegene Waffen und Werkzeuge sorgt. Nur die Zwerge kennen das Geheimnis der Stahlerzeugung."
METAL.TIN.ADJECTIVE,,Tin,Zinn
METAL.TIN.NOUN,,Tin,Zinn
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),"Zinn kann aus {{ORE.CASSITERITE.NOUN}} geschmolzen und mit {{METAL.COPPER.NOUN}} legiert werden, um {{METAL.BRONZE.NOUN}} herzustellen. (Legierungen wurden noch nicht eingebaut.)"

MODS.APPLY,,Apply,Anwenden
MODS.COMPATIBILITY.COMPATIBLE,,Yes,Ja
MODS.COMPATIBILITY.INCOMPATIBLE,,No,Nein
MODS.COMPATIBILITY.UNKNOWN,,Unknown,Unbekannt
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,"Dieser Spielstand wurde zuletzt verwendet, als die folgenden Mods aktiv waren. Diese Mods fehlen jetzt oder sind deaktiviert, so dass die Datei möglicherweise nicht korrekt geladen wird."
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:","Der Spielstand konnte nicht geladen werden, weil er entweder mit dieser Version des Spiels nicht kompatibel ist oder weil einige Mods seit dem letzten Laden des Spielstands deaktiviert oder entfernt wurden. Die folgenden Mods wurden erwartet, sind aber nicht mehr aktiv:"
MODS.TABLE.COMPATIBILITY,,Compatible?,Kompatibel?
MODS.TABLE.ENABLED,,Enabled?,Aktiviert?
MODS.TABLE.NAME,,Mod Name,Mod Name
MODS.TABLE.ORDERING,,Re-order,Neu ordnen
MODS.TABLE.VERSION,,Mod Version,Mod Version

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,Trinken
NEEDS.FOOD,,Food,Essen
NEEDS.SLEEP,,Sleep,Schlafen

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,Deine Bergleute haben ein neues Gebiet entdeckt!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Erkundung
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.",{{character}} ist aufgrund von {{reason}} gestorben.
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},Wegen {{reason}} gestorben
NOTIFICATION.DEATH.TITLE,,Settler death,Siedlertod
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,Alle Dinge müssen zu einem Ende kommen. Deine Siedlung ist verlassen.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,Spielende
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,"Der Wohlstand deiner Siedlung hat eine Reihe neuer Einwanderer angezogen, um deine Bevölkerung zu verstärken."
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,Einwanderung
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,Ein Gebiet ist aufgrund fehlender Säulen und Abstützungen eingestürzt.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,Mineneinsturz
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,Die zermürbende Not konnte von {{character}} nicht mehr ertragen werden.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,Nervenzusammenbruch

ORE.BAUXITE.ADJECTIVE,,Bauxite,Bauxit
ORE.BAUXITE.NOUN,,Bauxite,Bauxit
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.",Bauxit ist das Haupterz von Aluminium. Leider ist ein Weg zur Aluminiumproduktion noch nicht entdeckt worden.
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,Steinkohle
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Steinkohle
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,Dies kann mithilfe eines {{FURNITURE.COKE_OVEN}} in {{ORE.COKE.NOUN}} umgewandelt werden. 
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,Kassiterit
ORE.CASSITERITE.NOUN,,Cassiterite,Kassiterit
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,"Ein Erz, das geschmolzen werden kann, um {{METAL.TIN.NOUN}} zu produzieren."
ORE.CHARCOAL.ADJECTIVE,,Charcoal,Holzkohle
ORE.CHARCOAL.NOUN,,Charcoal,Holzkohle
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}} hergestellt aus Holz{{RESOURCE.LOGS.PLURAL}}.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,Chrysokoll
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,Chrysokoll
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.","Oft mit Türkis verwechselt, ist es in Wirklichkeit ein {{METAL.COPPER}}erz."
ORE.COKE.ADJECTIVE,,Coke,Koks
ORE.COKE.NOUN,,Coke,Koks
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,"Eine verfeinerte Form von {{ORE.BITUMINOUS_COAL}}, die als {{FUEL.SACK}} eingesetzt werden kann."
ORE.GALENA.ADJECTIVE,,Galena,Galenit
ORE.GALENA.NOUN,,Galena,Galenit
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,"Ein Erz, das geschmolzen werden kann, um {{METAL.SILVER}} herzustellen."
ORE.HEMATITE.ADJECTIVE,,Hematite,Hämatit
ORE.HEMATITE.NOUN,,Hematite,Hämatit
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,"Ein Erz, das geschmolzen werden kann, um {{METAL.IRON}} herzustellen."
ORE.ILMENITE.ADJECTIVE,,Ilmenite,Ilemenit
ORE.ILMENITE.NOUN,,Ilmenite,Ilmenit
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.","Ilmenit ist das Haupterz von Titan. Leider ist ein Mittel zur Herstellung von Titan noch nicht entdeckt worden."
ORE.MALACHITE.ADJECTIVE,,Malachite,Malachit
ORE.MALACHITE.NOUN,,Malachite,Malachit
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,"Ein Erz, das geschmolzen werden kann, um {{METAL.COPPER}} herzustellen."
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,Reinkupfer
ORE.NATIVE_COPPER.NOUN,,Native copper,Reinkupfer
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,"Natürlich vorkommendes {{METAL.COPPER}}, das geschmolzen werden muss bevor es verwendet werden kann."
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,Reingold
ORE.NATIVE_GOLD.NOUN,,Native gold,Reingold
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,"Natürlich vorkommendes {{METAL.GOLD}}, das geschmolzen werden muss bevor es verwendet werden kann."
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,Reinplatin
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,Reinplatin
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,"Natürlich vorkommendes {{METAL.PLATINUM}}, das geschmolzen werden muss bevor es verwendet werden kann."
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,Reinsilber
ORE.NATIVE_SILVER.NOUN,,Native silver,Reinsilber
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,"Natürlich vorkommendes {{METAL.SILVER}}, das geschmolzen werden muss bevor es verwendet werden kann."
