KEY,NOTES,ENGLISH,POLISH
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,
HAPPINESS_MODIFIER.TITLE,,Happiness:,
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}",
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,Ciasto
INGREDIENT.FLOUR,,Flour,Mąka
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,Bochenek
INGREDIENT.LOAF.PLURAL,,Loaves,Bochenki
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.",
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Nasiono
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Nasiona
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,
INGREDIENT.VEGETABLE.SACK.NOUN,E.g. “Sack containing a potato”,Sack,Worek

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Zapas:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{materialType.adjective}} {{itemType.noun_or_plural}}: {{quantity_if_multiple}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,
ITEM_GROUP.PRODUCT.PLURAL,,Products,
ITEM_GROUP.RESOURCE.PLURAL,,Resources,
ITEM_GROUP.TOOL.PLURAL,,Tools,

LANGUAGE.LABEL,,Language,Język

LIQUID.WATER.NOUN,,Water,Woda

MADNESS.BROKEN.ADJECTIVE,,Broken,
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ",

MATERIAL,Used for specifying which material something is made out of,Material,Materiał

MATERIAL_TYPE,,Type,Rodzaj
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Każdy
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,
MATERIAL_TYPE.EARTH.NOUN,,Earth,
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Klejnot
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,Metalowy
MATERIAL_TYPE.METAL.NOUN,,Metal,Metal
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,Ruda
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Inne
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Nasiono
MATERIAL_TYPE.STONE.ADJECTIVE,,,Kamienny
MATERIAL_TYPE.STONE.NOUN,,Stone,Kamień
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,Warzywo
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,Drewniany
MATERIAL_TYPE.WOOD.NOUN,,Wood,Drewno

MENU.CONTINUE_GAME,,Continue game,Kontynuuj
MENU.MODS,,Mods,
MENU.NEW_GAME,,Start new game,Nowa gra
MENU.OPTIONS,,Options,Ustawienia
MENU.QUIT,,Quit,Wyjdź
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Pełen ekran

METAL.BRONZE.ADJECTIVE,,Bronze,Brązowy
METAL.BRONZE.NOUN,,Bronze,Brąz
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),
METAL.COPPER.ADJECTIVE,,Copper,Miedziany
METAL.COPPER.NOUN,,Copper,Miedź
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.",
METAL.GOLD.ADJECTIVE,,Golden,Złoty
METAL.GOLD.NOUN,,Gold,Złoto
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.",
METAL.IRON.ADJECTIVE,,Iron,Żelazny
METAL.IRON.NOUN,,Iron,Żelazo
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,
METAL.PLATINUM.ADJECTIVE,,Platinum,
METAL.PLATINUM.NOUN,,Platinum,
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,
METAL.SILVER.ADJECTIVE,,Silver,
METAL.SILVER.NOUN,,Silver,Srebro
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ",
METAL.STEEL.ADJECTIVE,,Steel,Stalowy
METAL.STEEL.NOUN,,Steel,Stal
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.",
METAL.TIN.ADJECTIVE,,Tin,
METAL.TIN.NOUN,,Tin,Cyna
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),

MODS.APPLY,,Apply,
MODS.COMPATIBILITY.COMPATIBLE,,Yes,
MODS.COMPATIBILITY.INCOMPATIBLE,,No,
MODS.COMPATIBILITY.UNKNOWN,,Unknown,
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:",
MODS.TABLE.COMPATIBILITY,,Compatible?,
MODS.TABLE.ENABLED,,Enabled?,
MODS.TABLE.NAME,,Mod Name,
MODS.TABLE.ORDERING,,Re-order,
MODS.TABLE.VERSION,,Mod Version,

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},

NEEDS.DRINK,,Drink,
NEEDS.FOOD,,Food,
NEEDS.SLEEP,,Sleep,

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.",
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},
NOTIFICATION.DEATH.TITLE,,Settler death,
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,
NOTIFICATION.GAME_OVER.TITLE,,Game Over,
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,

ORE.BAUXITE.ADJECTIVE,,Bauxite,
ORE.BAUXITE.NOUN,,Bauxite,
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.",
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Węgiel bitumiczny
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,
ORE.CASSITERITE.NOUN,,Cassiterite,Kasyteryt
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,
ORE.CHARCOAL.ADJECTIVE,,Charcoal,
ORE.CHARCOAL.NOUN,,Charcoal,
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.",
ORE.COKE.ADJECTIVE,,Coke,
ORE.COKE.NOUN,,Coke,
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,
ORE.GALENA.ADJECTIVE,,Galena,
ORE.GALENA.NOUN,,Galena,Galena
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,
ORE.HEMATITE.ADJECTIVE,,Hematite,
ORE.HEMATITE.NOUN,,Hematite,Hematyt
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,
ORE.ILMENITE.ADJECTIVE,,Ilmenite,
ORE.ILMENITE.NOUN,,Ilmenite,
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.",
ORE.MALACHITE.ADJECTIVE,,Malachite,
ORE.MALACHITE.NOUN,,Malachite,Malachit
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,
ORE.NATIVE_COPPER.NOUN,,Native copper,Miedź rodzima
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,
ORE.NATIVE_GOLD.NOUN,,Native gold,Złoto rodzime
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,
ORE.NATIVE_SILVER.NOUN,,Native silver,Srebro rodzime
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,
ORE.POLLUCITE.ADJECTIVE,,Pollucite,
ORE.POLLUCITE.NOUN,,Pollucite,
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.",
ORE.PYRITE.ADJECTIVE,,Fool's gold,
ORE.PYRITE.NOUN,,Fool's gold,
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.",
ORE.THORIUM.ADJECTIVE,,Thorium,
ORE.THORIUM.NOUN,,Thorium,
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,
ORE.WOLFRAMITE.NOUN,,Wolframite,
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,

OTHER.BRICK.NOUN,,Brick,Cegła
OTHER.CLAY_SOIL.NOUN,,Clay soil,Glina
OTHER.GRASS.NOUN,,,Trawa

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to",
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically.,
PRIVACY.OPT_IN.LINE_4,," ",
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,
PRIVACY.OPT_IN.LINE_7,,- Your operating system,
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,
PRIVACY.OPT_IN.LINE_9,,- Your options settings,

PRODUCT.ANVIL,,Anvil,
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,
PRODUCT.BARREL.HOOPS,,Barrel hoops,Obręcze beczek
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,
PRODUCT.BARREL.NOUN,,Barrel,Beczka
PRODUCT.BARREL.PLURAL,,Barrels,
PRODUCT.BARREL.STAVES,,Barrel staves,Deszczułki beczek
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,
PRODUCT.BOWL,A bowl for eating from,Bowl,Miska
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},Miska {{cooking.soup.description}}
PRODUCT.BREAD.DOUGH.NOUN,,Dough,
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,Chleb
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,Chleb
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!",
PRODUCT.BUCKET.NOUN,,Bucket,Wiadro
PRODUCT.BUCKET.PLURAL,,Buckets,
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kocioł
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.",
PRODUCT.MILLSTONE,,Millstone,
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,
PRODUCT.RATION.NOUN,,Ration,
PRODUCT.RATION.PLURAL,,Rations,
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.",

PROFESSION.BAKER.VERB,,Baking,Piec
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,Kowalka
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,Kowal
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,
PROFESSION.BLACKSMITH.VERB,,Forging,Wykuwać
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,Stolarka
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,Stolarz
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,
PROFESSION.CARPENTER.VERB,,Crafting,Tworzyć
PROFESSION.CHEF.FEMALE_NOUN,,Chef,Kucharz
PROFESSION.CHEF.MALE_NOUN,,Chef,Kucharz
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,
PROFESSION.CHEF.VERB,,Cooking,Gotować
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,Farmerka
PROFESSION.FARMER.MALE_NOUN,,Farmer,Farmer
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.",
PROFESSION.FARMER.VERB,,Farming,Uprawiać
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,Rybaczka
PROFESSION.FISHER.MALE_NOUN,,Fisher,Rybak
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,
PROFESSION.FISHER.VERB,,Fishing,Łowić
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,Myśliwa
PROFESSION.HUNTER.MALE_NOUN,,Hunter,Myśliwy
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,
PROFESSION.HUNTER.VERB,,Hunting,Polować
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,Burmistrzyni
PROFESSION.MAYOR.MALE_NOUN,,Mayor,Burmistrz
PROFESSION.MAYOR.VERB,,Governing,Rządzić
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,Handlarka
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,Handlarz
PROFESSION.MERCHANT.VERB,,Trading,Handlować
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,
PROFESSION.MINER.FEMALE_NOUN,,Miner,Górniczka
PROFESSION.MINER.MALE_NOUN,,Miner,Górnik
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,
PROFESSION.MINER.VERB,,Mining,Wydobywać
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,Szlachcianka
PROFESSION.NOBLE.MALE_NOUN,,Noble,Szlachcic
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.",
PROFESSION.NOBLE.VERB,,Reigning,Panować
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,Runarka
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,Runarz
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.",
PROFESSION.RUNESMITH.VERB,,Enchanting,Zaklinać
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,Kamieniarka
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,Kamieniarz
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,
PROFESSION.STONEMASON.VERB,,Sculpting,Rzeźbić
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,Majsterka
PROFESSION.TINKERER.MALE_NOUN,,Tinker,Majster
PROFESSION.TINKERER.VERB,,Tinkering,Majstrować
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,Wieśniaczka
PROFESSION.VILLAGER.MALE_NOUN,,Villager,Wieśniak
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,
PROFESSION.VILLAGER.VERB,,Working,Pracować
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,Drwalka
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,Drwal
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,
PROFESSION.WOODCUTTER.VERB,,Chopping,Ścinać

RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,Krasnoludzka
RACE.DWARF.FEMALE_NOUN,,Dwarf,Krasnoludka
RACE.DWARF.FEMALE_PLURAL,,Dwarves,Krasnoludki
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,Krasnoludzki
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,Krasnolud
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,Krasnoludy
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),
RESOURCE.FLOUR.SACK.NOUN,,Flour,
RESOURCE.FLOUR.SACK.PLURAL,,Flour,
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,
RESOURCE.GEM.NOUN,,Gem,Klejnot
RESOURCE.GEM.PLURAL,,Gems,Klejnoty
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,Nieoszlifowany klejnot
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,Nieoszlifowane klejnoty
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,
RESOURCE.LOGS.NOUN,,Log,Pień
RESOURCE.LOGS.PLURAL,,Logs,Pnie
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.",
RESOURCE.METAL.BLOOM.NOUN,,Bloom,
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,
RESOURCE.METAL.INGOT.NOUN,,Ingot,Sztabka
RESOURCE.METAL.INGOT.PLURAL,,Ingots,Sztabki
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.",
RESOURCE.METAL.PLATE.NOUN,,Plate,
RESOURCE.METAL.PLATE.PLURAL,,Plates,
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.",
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,
RESOURCE.MUSHROOM.LUMBER.NOUN,,Log,Pień
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Logs,Pnie
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.",
RESOURCE.ORE.UNREFINED.NOUN,,Ore,Ruda
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,Rudy
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,
RESOURCE.PLANKS.NOUN,,Plank,Deska
RESOURCE.PLANKS.PLURAL,,Planks,Deski
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,
RESOURCE.STONE.BLOCK.NOUN,,Block,Blok
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,Bloki
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that is can be easily used in construction or crafting.,
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder,Nieociosany głaz
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders,Nieociosane głazy
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.,

ROOMS.BEDROOM,,Bedroom,Sypialnia
ROOMS.BEDROOM.TOOLTIP,,"A place for your settlers to sleep. They prefer to have individual bedrooms that are at least 9 tiles in size, and preferably at least 13 tiles in size.",
ROOMS.BRIDGE,,Bridge,
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.,
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop,Warsztat stolarski
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items.,
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use,
ROOMS.EARTHWORKS,,Earthworks,
ROOMS.EARTHWORKS.TOOLTIP,,An outdoor area for large constructions.,
ROOMS.FARM,,Farm plot,Działka rolna
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.,
ROOMS.FEASTING_HALL,,Feasting hall,Święto Hall
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!",
ROOMS.GRAVEYARD,,Graveyard,
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.,
ROOMS.KITCHEN,,Kitchen,Kuchnia
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.,
ROOMS.MASONRY_WORKSHOP,,Masonry workshop,Warsztat murarski
ROOMS.MASONRY_WORKSHOP.TOOLTIP,,This workshop produces most items made out of stone.,
ROOMS.METALWORKS,,Metalworks,
ROOMS.METALWORKS.TOOLTIP,,Metal ore is refined and used in crafting here.,
ROOMS.MUSHROOM_FARM,,Mushroom farm,
